App,Time instrumentation,Time execution 1,,Time execution 2,,Time execution 3,,Time execution 5,,Time execution 6,,Time execution 7,,Time execution 8,,Time execution 9,,Time execution 10
ActivityCommunication1,9650,172664,,175873,,162848,,64061,,149442,,159101,,63489,,169096,,160546
ActivityCommunication2,13849,104567,,104964,,111518,,45048,,116714,,112495,,50083,,111016,,107591
ActivityCommunication3,13899,122012,,107148,,112346,,43669,,102960,,103957,,52023,,110409,,107820
ActivityCommunication4,13773,111689,,103921,,104905,,42749,,107238,,112178,,46701,,116112,,119781
ActivityCommunication5,13662,116073,,99155,,105041,,53449,,105704,,108997,,49559,,111569,,111369
ActivityCommunication6,13988,107112,,107593,,105077,,43663,,106790,,109327,,46220,,111471,,111252
ActivityCommunication7,13966,101425,,105476,,101273,,44497,,105148,,110775,,43830,,110767,,105671
ActivityCommunication8,13726,121413,,99457,,109352,,43895,,103852,,104540,,42577,,108789,,105450
ActivityLifecycle1,9444,124351,,116232,,108473,,47764,,41296,,120293,,44174,,111416,,39198
ActivityLifecycle2,9408,102864,,108449,,104334,,53041,,49939,,108339,,45340,,127226,,41692
ActivityLifecycle3,9633,112615,,116473,,112679,,105475,,114023,,109106,,119308,,123389,,121246
ActivityLifecycle4,9974,116527,,133709,,107432,,113338,,103473,,115259,,109176,,128754,,108197
ActivitySavedState1,1884,111803,,123941,,117644,,121489,,114603,,107946,,115269,,113785,,116411
AnonymousClass1,9632,94694,,82319,,83181,,82914,,93364,,87620,,87670,,83546,,75041
ApplicationLifecycle1,9532,110560,,118995,,119133,,44109,,42089,,145521,,54694,,127458,,44284
ApplicationLifecycle2,9368,100129,,111255,,112747,,104365,,123879,,101339,,115446,,106634,,114671
ApplicationLifecycle3,11021,176623,,177870,,162668,,171059,,67933,,183744,,68581,,177468,,59760
ApplicationModeling1,1999,124049,,131788,,120107,,127135,,117889,,120494,,128908,,115241,,121459
ArrayAccess1,9698,105402,,106176,,142991,,131169,,117776,,144020,,127721,,149726,,134089
ArrayAccess2,9340,120016,,123431,,140170,,127593,,118297,,130733,,124972,,152285,,137249
ArrayCopy1,1802,104422,,116530,,133520,,43804,,117803,,100281,,40910,,116151,,113794
AsyncTask1,14272,171569,,178630,,177411,,67544,,176836,,179678,,65187,,188342,,167453
BroadcastReceiverLifecycle1,9337,5753,,6692,,6888,,8354,,7909,,7561,,7797,,7656,,7673
BroadcastReceiverLifecycle2,13968,170458,,180382,,159652,,69202,,66100,,170446,,64901,,165434,,65009
BroadcastTaintAndLeak1,1791,119018,,132800,,112647,,132227,,115433,,112300,,134549,,118037,,122630
Button1,10211,225306,,238959,,251717,,99935,,88871,,227732,,141261,,263773,,77066
Button2,9900,11872,,11969,,12310,,11084,,11367,,11260,,66819,,11194,,73361
Button3,10459,218137,,225261,,218360,,202225,,197823,,205596,,207673,,212692,,188485
Button4,9394,444585,,418321,,417793,,129378,,221639,,396680,,235301,,386000,,375201
Clone1,2076,109154,,116456,,107116,,42712,,117777,,110524,,42700,,104550,,123894
ComponentNotInManifest1,13569,9252,,11580,,9787,,10974,,10465,,10391,,10811,,11129,,9549
ContentProvider1,21515,226344,,239133,,239422,,16938,,239885,,233279,,60293,,233342,,240066
DirectLeak1,9698,112849,,124669,,130111,,49768,,51638,,120305,,48759,,142033,,40549
EventOrdering1,13932,111065,,112538,,105788,,110874,,106034,,112409,,121936,,103064,,106877
Exceptions3,10173,10451,,10138,,9378,,10425,,10866,,10554,,9616,,10565,,11107
Executor1,14372,181051,,181338,,171251,,73003,,168345,,178971,,69711,,168914,,169182
FactoryMethods1,10166,13084,,14861,,177665,,13935,,12621,,12928,,14182,,14079,,13968
FieldSensitivity1,9404,113831,,126322,,120793,,124221,,131517,,104101,,111669,,139009,,119772
FieldSensitivity2,9475,112479,,119681,,120902,,137303,,112362,,126534,,115056,,143320,,103326
FieldSensitivity3,9786,124613,,122888,,105117,,110899,,121141,,109486,,128651,,140024,,115964
FieldSensitivity4,9312,127379,,138083,,114641,,121733,,126401,,121960,,115949,,137646,,130873
FragmentLifecycle1,12871,170386,,192003,,193184,,64247,,66662,,187250,,67160,,188665,,65175
FragmentLifecycle2,8292,83969,,93552,,78866,,78773,,79939,,83159,,80409,,78122,,76064
HashMapAccess1,10262,114304,,114880,,143064,,125959,,129388,,137482,,114401,,140993,,127991
IMEI1,21688,121712,,116170,,122986,,50475,,119989,,134935,,51481,,141908,,133348
ImplicitFlow1,9773,113167,,117156,,108602,,11263,,105786,,130549,,10086,,124703,,110049
InactiveActivity,9344,6243,,6739,,6924,,7332,,7647,,7664,,9193,,7532,,7142
InheritedObjects1,9582,112150,,109487,,125103,,52938,,146221,,128562,,41654,,133474,,116272
JavaThread1,13924,172843,,174310,,180851,,66367,,177287,,167858,,66991,,171702,,174780
JavaThread2,14397,175548,,173971,,185326,,71335,,185573,,170585,,65030,,171153,,176135
Library2,10002,173268,,181493,,175409,,68469,,70664,,178421,,79562,,191935,,63056
Lifecycle_EventOrdering1,1833,117989,,106236,,111573,,118140,,80236,,116875,,134049,,126825,,109977
ListAccess1,9545,107430,,123633,,141018,,127912,,131258,,140783,,116677,,132577,,133373
LocationLeak1,9603,99339,,82286,,80536,,97038,,91597,,84795,,88903,,49965,,82501
LocationLeak2,9932,160399,,177209,,180251,,192510,,169415,,163662,,172285,,167070,,179044
LocationLeak3,10993,153955,,153471,,155525,,160352,,141691,,169226,,164542,,158589,,162495
LogNoLeak,4583,68681,,73125,,67137,,65777,,65550,,59294,,71582,,68516,,66263
Loop1,9350,123377,,127084,,123669,,44340,,142793,,122042,,45130,,142913,,126755
