,Execution 1,,,,Execution 2,,,,Execution 3,,,,Execution 4,,,,Execution5,,,,Execution 6,,,,Execution7,,,,Execution 8,,,,Execution 9,,,,Execution 10,,
App,TP,FP,FN,,TP,FP,FN,,TP,FP,FN,,TP,FP,FN,,TP,FP,FN,,TP,FP,FN,,TP,FP,FN,,TP,FP,FN,,TP,FP,FN,,TP,FP,FN
ActivityCommunication1,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0
ActivityCommunication2,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0
ActivityCommunication3,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0
ActivityCommunication4,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0
ActivityCommunication5,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0
ActivityCommunication6,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0
ActivityCommunication7,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0
ActivityCommunication8,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0
ActivityLifecycle1,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0
ActivityLifecycle2,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0
ActivityLifecycle3,0,0,1,,0,0,1,,0,0,1,,0,0,1,,0,0,1,,0,0,1,,1,0,0,,1,0,0,,0,0,1,,1,0,0
ActivityLifecycle4,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0
ActivitySavedState1,0,0,1,,0,0,1,,0,0,1,,0,0,1,,1,0,0,,0,0,1,,0,0,1,,0,0,1,,0,0,1,,0,0,1
AnonymousClass1,0,0,2,,0,0,2,,0,0,2,,0,0,2,,0,0,2,,0,0,2,,0,0,2,,0,0,2,,0,0,2,,0,0,2
ApplicationLifecycle1,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0
ApplicationLifecycle2,0,0,1,,0,0,1,,0,0,1,,0,0,1,,0,0,1,,0,0,1,,0,0,1,,0,0,1,,0,0,1,,0,0,1
ApplicationLifecycle3,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0,,1,0,0
ApplicationModeling1,0,0,1,,0,0,1,,0,0,1,,0,0,1,,0,0,1,,0,0,1,,0,0,1,,0,0,1,,0,0,1,,0,0,1
ArrayAccess1,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
